Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,12/16/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
American Samoa,ASM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11586.77979,12079.01639,12284.91355,12974.81357,13837.11177,13221.94934,14045.64927,14757.12431,15306.50488,15789.4352,16843.12161,16173.32622,16367.7349,17458.88373,18718.37078,20269.69099,23180.40071,25613.5465,25690.68949,22435.3937,20611.44578,20347.86848,19598.02386,18797.62637,19039.0045,18911.30689,19920.26578,19840.28404,21521.88505,22774.1742,18235.07517
Australia,AUS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17361.45093,17816.60676,18208.59283,19152.99787,20087.21201,20916.42035,22001.41417,22964.6554,24202.38793,25296.26355,26343.86008,27424.66853,28768.72863,29792.26285,31393.87696,32653.40162,34357.89358,36581.54545,37499.52513,40311.08543,39351.08656,42003.15806,42836.67186,45906.44004,46880.89518,46248.61646,47255.30701,48398.5497,50100.22467,52030.64391,52397.38705
Austria,AUT,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19425.40464,20567.11866,21241.15934,21679.4508,22587.18592,23639.81746,24500.22718,25417.84917,26673.94471,27606.48303,29388.77747,29715.64085,31178.69333,32111.12443,33745.84765,35013.71404,37611.80425,39382.79706,41316.22518,40948.22216,42041.48668,44452.73275,46457.34578,47922.04912,48799.71547,49865.90394,52684.01711,54172.98679,57059.53894,58641.29812,55648.87456
Azerbaijan,AZE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5255.884068,5324.280172,4151.671993,3219.144386,2604.809937,2318.665985,2367.736202,2525.380061,2782.647228,3005.222233,3385.512727,3772.943783,4163.199987,4638.124768,5158.394594,6737.146208,9233.680797,11718.52673,12956.83405,13976.10964,14677.16482,14804.57445,15957.71885,17188.94551,17443.87826,14938.40113,14371.02274,14121.40694,14550.76282,15052.79387,14474.31336
Burundi,BDI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,614.6797871,652.1172668,659.4188858,620.647203,599.1938174,555.0198156,513.6983022,509.3573907,534.023853,529.2830268,527.0808747,537.3594612,554.9448477,541.7639194,565.0427467,569.2749716,598.5075975,615.2295597,636.3320241,644.1051742,663.0544895,681.9716213,690.6878417,740.9832211,777.0412415,841.6460259,796.9440834,773.5728587,779.8081757,783.4519832,770.8760716
Belgium,BEL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18642.89392,19553.85806,20223.37968,20423.46243,21466.44544,22392.27232,22688.78553,23724.01023,24367.92397,25440.84119,27796.64607,28800.51705,30282.28865,30901.00319,32036.50123,33177.89095,35212.02356,36746.55137,37883.33194,37777.32783,39870.49487,40942.37271,42290.76205,43671.11959,44929.68559,46200.90445,48597.39998,50442.27054,52623.55967,54918.1662,52626.58164
Benin,BEN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1258.771282,1311.290201,1333.626614,1395.208695,1404.829508,1471.713483,1515.050877,1581.941833,1614.627555,1675.244795,1759.720357,1837.805332,1894.998881,1936.880972,2015.637766,2052.528853,2135.26377,2258.492681,2347.924324,2353.632893,2364.119636,2416.327362,2498.495773,2669.68822,2833.412753,2886.829137,3004.807805,3044.517156,3236.670417,3426.329654,3504.118981
Burkina Faso,BFA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589.5763023,647.2369755,645.8975317,665.8067704,670.4305773,704.0167896,774.1699495,814.7897207,859.7349553,910.5803534,921.9391767,976.1608793,1005.429991,1072.467136,1117.464831,1215.573258,1291.485796,1339.737649,1401.957727,1411.127528,1502.104047,1586.571161,1619.399426,1683.105833,1692.303242,1713.520136,1895.295066,2044.386987,2168.662213,2267.506638,2273.170019
Bangladesh,BGD,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,849.9629681,888.4308718,936.9755871,982.8345899,1020.791051,1072.432678,1117.400582,1163.617277,1212.188224,1261.344618,1331.548429,1403.126219,1453.262257,1523.797478,1620.425053,1753.874608,1901.716701,2065.154773,2206.510371,2309.563637,2439.069627,2620.83379,2937.628798,3143.585503,3368.056164,3555.50526,3848.957664,4160.703325,4547.480016,4954.761848,5136.739645
